"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Oct 3, 2017  4:00 PM",7,7,0.25,8,18.5,2,24.6666666666667,172.666666666667,2,5,31,16,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,4
"Oct 4, 2017 11:00 AM",44,40,0.1,7.7,10.9,3,10.9,479.6,3,4,30,11,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,10
"Oct 5, 2017  3:00 PM",50,47,0.285714285714286,31.4285714285714,6.28571428571429,4,6.28571428571429,314.285714285714,4,3,29,15,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,7
"Oct 8, 2017  1:00 PM",81,38,0.1,55.6,8.4,0,10.5,850.5,7,0,26,13,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,10
"Oct 9, 2017 11:00 AM",102,51,0.111111111111111,71.1111111111111,8.11111111111111,1,9.125,930.75,1,6,25,11,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,9
"Oct 10, 2017  3:00 PM",67,52,0.25,37.375,11.375,2,13,871,2,5,24,15,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,8
"Oct 11, 2017 11:00 AM",74,54,0.1,37.5,7.7,3,8.55555555555556,633.111111111111,3,4,23,11,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,10
"Oct 12, 2017  3:00 PM",38,37,0.125,21.375,8.5,4,9.71428571428571,369.142857142857,4,3,22,15,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,8
"Oct 13, 2017  4:00 PM",22,20,0.666666666666667,22,8.33333333333333,5,8.33333333333333,183.333333333333,5,2,21,16,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,3
"Oct 15, 2017  2:00 PM",60,44,0.285714285714286,61.8571428571429,16,0,16,960,7,0,19,14,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,7
