"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 4, 2018 11:00 AM",7,5,0,7,6.75,3,13.5,94.5,-1,7,24,11,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,4
"Apr 5, 2018  1:00 PM",7,7,0.25,5,8.25,4,11,77,-1,6,23,13,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,4
"Apr 6, 2018 10:00 AM",8,8,0,2,6.75,5,9,72,-1,5,22,10,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,4
"Apr 8, 2018 12:00 PM",1,0,1,0,0,0,100,100,-1,3,20,12,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 9, 2018  2:00 PM",19,19,0.375,2.25,6.75,1,7.71428571428571,146.571428571429,-1,2,19,14,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,8
"Apr 10, 2018  3:00 PM",6,6,0.333333333333333,1,8,2,8,48,-1,1,18,15,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,3
"Apr 11, 2018 12:00 PM",25,21,0.166666666666667,3.16666666666667,9.66666666666667,3,11.6,290,-1,0,17,12,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,6
"Apr 12, 2018  1:00 PM",29,29,0.166666666666667,9.16666666666667,6.83333333333333,4,8.2,237.8,1,6,16,13,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,6
"Apr 13, 2018  3:00 PM",17,14,0.25,62.5,6.5,5,8.66666666666667,147.333333333333,2,5,15,15,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,4
"Apr 15, 2018  2:00 PM",32,28,0.2,57,12.6,0,12.6,403.2,4,3,13,14,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,5
"Apr 16, 2018  1:00 PM",76,63,0.125,76.125,13.25,1,13.25,1007,5,2,12,13,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,8
"Apr 17, 2018 10:00 AM",19,18,0.166666666666667,9.5,16.8333333333333,2,25.25,479.75,6,1,11,10,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,6
