,sign_ups,serves,servers,average_wait_time,average_serve_time,day,avgDayServeTime,loadInflux,daysAfterPrevAssnDue,daysUntilNextAssnDue,daysTilExam,hourOfDay,weekNum,morning,noon,afternoon,evening,L10daysAfterPrevAssnDue,L5daysAfterPrevAssnDue,L3daysAfterPrevAssnDue,L1daysAfterPrevAssnDue,L10daysUntilNextAssnDue,L5daysUntilNextAssnDue,L3daysUntilNextAssnDue,L1daysUntilNextAssnDue,L10daysTilExam,L5daysTilExam,L3daysTilExam,L1daysTilExam,isFirstOHWithinLastThreeHour,isFirstOHWithinLastSixHour,isLastOHWithinNextThreeHour,isLastOHWithinNextSixHour,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs,NumEntriesInInt
10/1/18 18:00,30,27,0.25,27.25,6.5,1,6.5,195,-1,2,31,18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
10/2/18 18:00,12,12,0.2,9,9.8,2,12.25,147,-1,1,30,18,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/3/18 18:00,17,16,0,22.2,6.2,3,7.75,131.75,-1,0,29,18,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/4/18 18:00,5,3,0.5,16.5,2.5,4,5,25,1,6,28,18,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,2
10/7/18 18:00,55,53,0.4,11.2,6,0,7.5,412.5,4,3,25,18,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/8/18 18:00,37,33,0.5,49,7.5,1,7.5,277.5,5,2,24,18,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
10/9/18 18:00,29,17,0.25,34,6.25,2,8.333333333,241.6666667,6,1,23,18,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
10/10/18 18:00,29,29,0.5,7.75,15.75,3,15.75,456.75,7,0,22,18,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
10/11/18 18:00,7,6,0,14,0,4,100,700,1,10,21,18,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,3
10/14/18 17:00,28,25,0,35.8,11.6,0,14.5,406,4,7,18,17,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/15/18 18:00,37,32,0.4,38.8,18.6,1,18.6,688.2,5,6,17,18,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/16/18 18:00,22,15,0.2,47.2,12.2,2,12.2,268.4,6,5,16,18,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/17/18 17:00,39,31,0.166666667,17.66666667,15.33333333,3,18.4,717.6,7,4,15,17,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,6
10/18/18 18:00,27,15,0.25,47,5.25,4,7,189,8,3,14,18,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
10/20/18 15:00,39,16,0.5,785,10.25,6,10.25,399.75,10,1,12,15,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
10/21/18 18:00,56,49,0.4,58.6,11,0,11,616,11,0,11,18,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/22/18 10:00,35,31,0.166666667,43.16666667,8.166666667,1,9.8,343,1,8,10,10,4,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,116,4.5,16.6,0.08,0.18,0.02,6
10/23/18 18:00,24,21,0.2,11.2,12.2,2,20.33333333,488,2,7,9,18,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/24/18 17:00,38,34,0,10.6,9.4,3,11.75,446.5,3,6,8,17,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/25/18 18:00,19,14,0.25,74.25,10.25,4,13.66666667,259.6666667,4,5,7,18,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
10/26/18 13:00,20,14,0,1270.166667,9.666666667,5,14.5,290,5,4,6,13,5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,6
10/28/18 18:00,34,38,0.2,71,9.4,0,9.4,319.6,7,2,4,18,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/29/18 17:00,32,27,0,67.42857143,19.28571429,1,22.5,720,8,1,3,17,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,7
10/30/18 18:00,29,27,0.2,49.6,12,2,12,348,9,0,2,18,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
10/31/18 18:00,26,18,0.5,37.25,17.75,3,17.75,461.5,1,7,1,18,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
11/4/18 18:00,29,25,0.2,25.4,13.4,0,16.75,485.75,5,3,39,18,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
11/5/18 17:00,50,44,0,22.16666667,9.833333333,1,14.75,737.5,6,2,38,17,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,6
11/6/18 18:00,33,23,0.25,65.25,12.5,2,12.5,412.5,7,1,37,18,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
11/7/18 18:00,46,35,0.333333333,26.33333333,8.166666667,3,12.25,563.5,8,0,36,18,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,6
11/8/18 18:00,24,15,0.25,28.75,10.5,4,10.5,252,1,6,35,18,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
11/9/18 14:00,14,10,0.2,52.6,13.4,5,22.33333333,312.6666667,2,5,34,14,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
11/11/18 18:00,28,24,0.2,50.8,7.8,0,9.75,273,4,3,32,18,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
11/12/18 18:00,36,32,0.4,41.6,12.2,1,12.2,439.2,5,2,31,18,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
11/13/18 18:00,37,23,0.2,36.6,17.8,2,22.25,823.25,6,1,30,18,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
11/14/18 18:00,30,25,0.5,20,15.5,3,15.5,465,7,0,29,18,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,4
11/25/18 17:00,22,19,0,52.6,6,0,7.5,165,11,4,18,17,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,116,4.5,16.6,0.08,0.18,0.02,5
11/26/18 18:00,6,0,1,17,0,1,100,600,12,3,17,18,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,116,4.5,16.6,0.08,0.18,0.02,1
