,sign_ups,serves,servers,average_wait_time,average_serve_time,day,avgDayServeTime,loadInflux,hourOfDay,weekNum,daysAfterPrevAssnDue,daysUntilNextAssnDue,daysTilExam,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs
10/3/17 16:00,4,0,1,19,24,Tuesday,24.66666667,98.66666667,16,1,2,5,31,172,4.1,16.35,0.29,0.14,0.05
10/3/17 17:00,2,5,2,13,18,Tuesday,24.66666667,49.33333333,17,1,2,5,31,172,4.1,16.35,0.29,0.14,0.05
10/3/17 18:00,1,1,1,0,32,Tuesday,24.66666667,24.66666667,18,1,2,5,31,172,4.1,16.35,0.29,0.14,0.05
10/3/17 19:00,0,1,0,0,0,Tuesday,24.66666667,0,19,1,2,5,31,172,4.1,16.35,0.29,0.14,0.05
10/4/17 11:00,7,5,1,4,3,Wednesday,10.9,76.3,11,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 12:00,3,5,1,1,2,Wednesday,10.9,32.7,12,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 13:00,5,2,1,10,11,Wednesday,10.9,54.5,13,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 14:00,3,6,1,2,1,Wednesday,10.9,32.7,14,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 16:00,3,0,1,7,18,Wednesday,10.9,32.7,16,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 17:00,5,7,2,22,18,Wednesday,10.9,54.5,17,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 18:00,5,3,1,0,10,Wednesday,10.9,54.5,18,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 19:00,4,4,1,5,18,Wednesday,10.9,43.6,19,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 20:00,8,4,1,26,14,Wednesday,10.9,87.2,20,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/4/17 21:00,1,4,1,0,14,Wednesday,10.9,10.9,21,2,3,4,30,172,4.1,16.35,0.29,0.14,0.05
10/5/17 15:00,12,10,2,15,4,Thursday,6.285714286,75.42857143,15,2,4,3,29,172,4.1,16.35,0.29,0.14,0.05
10/5/17 16:00,4,3,2,5,3,Thursday,6.285714286,25.14285714,16,2,4,3,29,172,4.1,16.35,0.29,0.14,0.05
10/5/17 17:00,8,7,3,10,8,Thursday,6.285714286,50.28571429,17,2,4,3,29,172,4.1,16.35,0.29,0.14,0.05
10/5/17 18:00,12,7,2,19,5,Thursday,6.285714286,75.42857143,18,2,4,3,29,172,4.1,16.35,0.29,0.14,0.05
10/5/17 19:00,6,7,2,67,12,Thursday,6.285714286,37.71428571,19,2,4,3,29,172,4.1,16.35,0.29,0.14,0.05
10/5/17 20:00,5,5,1,75,11,Thursday,6.285714286,31.42857143,20,2,4,3,29,172,4.1,16.35,0.29,0.14,0.05
10/5/17 21:00,3,8,1,29,1,Thursday,6.285714286,18.85714286,21,2,4,3,29,172,4.1,16.35,0.29,0.14,0.05
