"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","hourOfDay","weekNum","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Oct 1, 2018  6:00 PM",2,2,2,2,10,"Monday",15.5,31,18,1,-1,0,32,220,4.5,16.35,0.29,0.14,0.05
"Oct 1, 2018  7:00 PM",1,1,1,0,21,"Monday",15.5,15.5,19,1,-1,0,32,220,4.5,16.35,0.29,0.14,0.05
"Oct 3, 2018 10:00 AM",1,1,1,0,7,"Wednesday",12,12,10,2,2,5,30,220,4.5,16.35,0.29,0.14,0.05
"Oct 3, 2018 11:00 AM",3,2,1,7,18,"Wednesday",12,36,11,2,2,5,30,220,4.5,16.35,0.29,0.14,0.05
"Oct 3, 2018 12:00 PM",1,2,1,1,10,"Wednesday",12,12,12,2,2,5,30,220,4.5,16.35,0.29,0.14,0.05
"Oct 3, 2018  2:00 PM",1,1,1,0,13,"Wednesday",12,12,14,2,2,5,30,220,4.5,16.35,0.29,0.14,0.05
"Oct 3, 2018  3:00 PM",3,3,2,1,12,"Wednesday",12,36,15,2,2,5,30,220,4.5,16.35,0.29,0.14,0.05
"Oct 4, 2018  9:00 AM",1,1,1,0,22,"Thursday",10.2,10.2,9,2,3,4,29,220,4.5,16.35,0.29,0.14,0.05
"Oct 4, 2018 10:00 AM",1,1,1,1,2,"Thursday",10.2,10.2,10,2,3,4,29,220,4.5,16.35,0.29,0.14,0.05
"Oct 4, 2018  2:00 PM",2,0,1,18,11,"Thursday",10.2,20.4,14,2,3,4,29,220,4.5,16.35,0.29,0.14,0.05
"Oct 4, 2018  3:00 PM",7,9,2,2,11,"Thursday",10.2,71.4,15,2,3,4,29,220,4.5,16.35,0.29,0.14,0.05
"Oct 4, 2018  4:00 PM",8,6,2,2,5,"Thursday",10.2,81.6,16,2,3,4,29,220,4.5,16.35,0.29,0.14,0.05
"Oct 4, 2018  5:00 PM",0,1,0,0,0,"Thursday",10.2,0,17,2,3,4,29,220,4.5,16.35,0.29,0.14,0.05
"Oct 5, 2018  4:00 PM",14,7,2,21,15,"Friday",15.5,217,16,2,4,3,28,220,4.5,16.35,0.29,0.14,0.05
"Oct 5, 2018  5:00 PM",5,9,2,18,16,"Friday",15.5,77.5,17,2,4,3,28,220,4.5,16.35,0.29,0.14,0.05
"Oct 5, 2018  6:00 PM",0,3,0,0,0,"Friday",15.5,0,18,2,4,3,28,220,4.5,16.35,0.29,0.14,0.05
"Oct 8, 2018  1:00 PM",18,5,2,49,12,"Monday",12.6,226.8,13,2,7,0,25,220,4.5,16.35,0.29,0.14,0.05
"Oct 8, 2018  2:00 PM",4,8,2,45,17,"Monday",12.6,50.4,14,2,7,0,25,220,4.5,16.35,0.29,0.14,0.05
"Oct 8, 2018  3:00 PM",1,8,2,0,11,"Monday",12.6,12.6,15,2,7,0,25,220,4.5,16.35,0.29,0.14,0.05
"Oct 8, 2018  6:00 PM",19,9,2,30,11,"Monday",12.6,239.4,18,2,7,0,25,220,4.5,16.35,0.29,0.14,0.05
"Oct 8, 2018  7:00 PM",4,9,2,21,12,"Monday",12.6,50.4,19,2,7,0,25,220,4.5,16.35,0.29,0.14,0.05
"Oct 8, 2018  8:00 PM",0,1,0,0,0,"Monday",12.6,0,20,2,7,0,25,220,4.5,16.35,0.29,0.14,0.05
"Oct 9, 2018  1:00 PM",10,2,2,12,24,"Tuesday",15.5,155,13,2,1,6,24,220,4.5,16.35,0.29,0.14,0.05
"Oct 9, 2018  2:00 PM",7,8,2,16,20,"Tuesday",15.5,108.5,14,2,1,6,24,220,4.5,16.35,0.29,0.14,0.05
"Oct 9, 2018  3:00 PM",6,5,2,15,15,"Tuesday",15.5,93,15,2,1,6,24,220,4.5,16.35,0.29,0.14,0.05
"Oct 9, 2018  4:00 PM",3,6,1,5,3,"Tuesday",15.5,46.5,16,2,1,6,24,220,4.5,16.35,0.29,0.14,0.05
"Oct 10, 2018 10:00 AM",3,1,1,7,32,"Wednesday",15.2857142857143,45.8571428571429,10,3,2,5,23,220,4.5,16.35,0.29,0.14,0.05
