,sign_ups,serves,servers,average_wait_time,average_serve_time,day,avgDayServeTime,loadInflux,hourOfDay,weekNum,daysAfterPrevAssnDue,daysUntilNextAssnDue,daysTilExam,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs
4/10/17 18:00,1,1,1,3,17,Monday,17,17,18,1,-1,1,18,184,4.3,16.35,0.29,0.14,0.05
4/11/17 12:00,1,1,1,2,7,Tuesday,11.33333333,11.33333333,12,1,-1,0,17,184,4.3,16.35,0.29,0.14,0.05
4/11/17 15:00,1,0,0,68,0,Tuesday,11.33333333,11.33333333,15,1,-1,0,17,184,4.3,16.35,0.29,0.14,0.05
4/11/17 16:00,1,0,0,8,0,Tuesday,11.33333333,11.33333333,16,1,-1,0,17,184,4.3,16.35,0.29,0.14,0.05
4/11/17 17:00,1,2,2,9,6,Tuesday,11.33333333,11.33333333,17,1,-1,0,17,184,4.3,16.35,0.29,0.14,0.05
4/11/17 18:00,2,2,2,4,21,Tuesday,11.33333333,22.66666667,18,1,-1,0,17,184,4.3,16.35,0.29,0.14,0.05
4/11/17 19:00,0,1,0,0,0,Tuesday,11.33333333,0,19,1,-1,0,17,184,4.3,16.35,0.29,0.14,0.05
4/12/17 14:00,1,1,1,3,19,Wednesday,11.5,11.5,14,2,1,6,16,184,4.3,16.35,0.29,0.14,0.05
4/12/17 15:00,2,2,2,9,4,Wednesday,11.5,23,15,2,1,6,16,184,4.3,16.35,0.29,0.14,0.05
4/13/17 9:00,2,0,1,8,15,Thursday,10.55555556,21.11111111,9,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 10:00,4,4,1,12,7,Thursday,10.55555556,42.22222222,10,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 11:00,3,4,1,3,7,Thursday,10.55555556,31.66666667,11,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 13:00,4,2,1,11,10,Thursday,10.55555556,42.22222222,13,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 14:00,8,6,1,22,9,Thursday,10.55555556,84.44444444,14,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 15:00,4,5,2,18,16,Thursday,10.55555556,42.22222222,15,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 16:00,2,3,1,17,12,Thursday,10.55555556,21.11111111,16,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 18:00,2,0,0,7,0,Thursday,10.55555556,21.11111111,18,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
4/13/17 19:00,8,5,1,39,10,Thursday,10.55555556,84.44444444,19,2,2,5,15,184,4.3,16.35,0.29,0.14,0.05
