"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","hourOfDay","weekNum","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Apr 4, 2018 11:00 AM",1,0,0,0,0,"Wednesday",13.5,13.5,11,1,-1,7,24,202,4.4,16.35,0.29,0.14,0.05
"Apr 4, 2018 12:00 PM",4,3,1,16,0,"Wednesday",13.5,54,12,1,-1,7,24,202,4.4,16.35,0.29,0.14,0.05
"Apr 4, 2018  1:00 PM",2,1,1,12,2,"Wednesday",13.5,27,13,1,-1,7,24,202,4.4,16.35,0.29,0.14,0.05
"Apr 4, 2018  2:00 PM",0,1,1,0,25,"Wednesday",13.5,0,14,1,-1,7,24,202,4.4,16.35,0.29,0.14,0.05
"Apr 5, 2018  1:00 PM",2,2,1,7,16,"Thursday",11,22,13,1,-1,6,23,202,4.4,16.35,0.29,0.14,0.05
"Apr 5, 2018  2:00 PM",1,1,1,2,0,"Thursday",11,11,14,1,-1,6,23,202,4.4,16.35,0.29,0.14,0.05
"Apr 5, 2018  3:00 PM",4,3,2,11,2,"Thursday",11,44,15,1,-1,6,23,202,4.4,16.35,0.29,0.14,0.05
"Apr 5, 2018  4:00 PM",0,1,1,0,15,"Thursday",11,0,16,1,-1,6,23,202,4.4,16.35,0.29,0.14,0.05
"Apr 6, 2018 10:00 AM",1,0,0,5,0,"Friday",9,9,10,1,-1,5,22,202,4.4,16.35,0.29,0.14,0.05
"Apr 6, 2018 11:00 AM",0,1,1,0,9,"Friday",9,0,11,1,-1,5,22,202,4.4,16.35,0.29,0.14,0.05
"Apr 6, 2018  3:00 PM",6,4,2,3,14,"Friday",9,54,15,1,-1,5,22,202,4.4,16.35,0.29,0.14,0.05
"Apr 6, 2018  4:00 PM",1,3,1,0,4,"Friday",9,9,16,1,-1,5,22,202,4.4,16.35,0.29,0.14,0.05
"Apr 8, 2018 12:00 PM",1,0,1,0,0,"Sunday",100,100,12,1,-1,3,20,202,4.4,16.35,0.29,0.14,0.05
"Apr 9, 2018  2:00 PM",6,6,3,2,7,"Monday",7.71428571428571,46.2857142857143,14,1,-1,2,19,202,4.4,16.35,0.29,0.14,0.05
"Apr 9, 2018  3:00 PM",2,2,2,5,16,"Monday",7.71428571428571,15.4285714285714,15,1,-1,2,19,202,4.4,16.35,0.29,0.14,0.05
"Apr 9, 2018  4:00 PM",1,1,1,6,10,"Monday",7.71428571428571,7.71428571428571,16,1,-1,2,19,202,4.4,16.35,0.29,0.14,0.05
"Apr 9, 2018  5:00 PM",1,1,1,2,7,"Monday",7.71428571428571,7.71428571428571,17,1,-1,2,19,202,4.4,16.35,0.29,0.14,0.05
"Apr 9, 2018  6:00 PM",1,1,1,0,4,"Monday",7.71428571428571,7.71428571428571,18,1,-1,2,19,202,4.4,16.35,0.29,0.14,0.05
