"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","hourOfDay","weekNum","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Jan 9, 2018  5:00 PM",1,1,1,0,21,"Tuesday",21,21,17,11,-1,8,51,206,4.7,16.35,0.29,0.14,0.05
"Jan 15, 2018  3:00 PM",1,1,1,1,7,"Monday",7,7,15,1,-1,2,45,206,4.7,16.35,0.29,0.14,0.05
"Jan 16, 2018  3:00 PM",2,1,1,12,0,"Tuesday",14,28,15,1,-1,1,44,206,4.7,16.35,0.29,0.14,0.05
"Jan 16, 2018  4:00 PM",3,2,1,22,24,"Tuesday",14,42,16,1,-1,1,44,206,4.7,16.35,0.29,0.14,0.05
"Jan 16, 2018  5:00 PM",2,4,1,8,4,"Tuesday",14,28,17,1,-1,1,44,206,4.7,16.35,0.29,0.14,0.05
"Jan 17, 2018  3:00 PM",1,0,1,38,2,"Wednesday",11.2,11.2,15,2,-1,0,43,206,4.7,16.35,0.29,0.14,0.05
"Jan 17, 2018  4:00 PM",8,2,1,30,13,"Wednesday",11.2,89.6,16,2,-1,0,43,206,4.7,16.35,0.29,0.14,0.05
"Jan 17, 2018  5:00 PM",3,5,2,28,20,"Wednesday",11.2,33.6,17,2,-1,0,43,206,4.7,16.35,0.29,0.14,0.05
"Jan 17, 2018  6:00 PM",3,4,1,1,10,"Wednesday",11.2,33.6,18,2,-1,0,43,206,4.7,16.35,0.29,0.14,0.05
"Jan 17, 2018  7:00 PM",5,4,1,1,11,"Wednesday",11.2,56,19,2,-1,0,43,206,4.7,16.35,0.29,0.14,0.05
"Jan 17, 2018  8:00 PM",0,1,0,0,0,"Wednesday",11.2,0,20,2,-1,0,43,206,4.7,16.35,0.29,0.14,0.05
"Jan 18, 2018  2:00 PM",14,4,1,43,12,"Thursday",11,154,14,2,1,6,42,206,4.7,16.35,0.29,0.14,0.05
"Jan 18, 2018  3:00 PM",1,6,1,0,10,"Thursday",11,11,15,2,1,6,42,206,4.7,16.35,0.29,0.14,0.05
"Jan 18, 2018  4:00 PM",0,1,0,0,0,"Thursday",11,0,16,2,1,6,42,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018 10:00 AM",14,3,1,63,12,"Friday",18,252,10,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018 11:00 AM",2,4,1,0,12,"Friday",18,36,11,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018 12:00 PM",0,5,1,0,5,"Friday",18,0,12,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018  4:00 PM",23,1,1,137,19,"Friday",18,414,16,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018  5:00 PM",2,3,1,170,20,"Friday",18,36,17,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018  6:00 PM",0,4,2,0,21,"Friday",18,0,18,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018  7:00 PM",0,7,2,0,40,"Friday",18,0,19,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 19, 2018  8:00 PM",0,7,2,0,15,"Friday",18,0,20,2,2,5,41,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018 10:00 AM",6,1,1,37,29,"Sunday",16.6666666666667,100,10,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018 11:00 AM",2,2,1,86,21,"Sunday",16.6666666666667,33.3333333333333,11,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018 12:00 PM",10,3,1,57,19,"Sunday",16.6666666666667,166.666666666667,12,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018  1:00 PM",13,4,2,90,23,"Sunday",16.6666666666667,216.666666666667,13,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018  2:00 PM",8,7,2,116,16,"Sunday",16.6666666666667,133.333333333333,14,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018  3:00 PM",3,5,1,117,12,"Sunday",16.6666666666667,50,15,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018  4:00 PM",8,6,1,104,15,"Sunday",16.6666666666667,133.333333333333,16,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018  5:00 PM",0,6,1,0,11,"Sunday",16.6666666666667,0,17,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 21, 2018  6:00 PM",0,7,1,0,4,"Sunday",16.6666666666667,0,18,2,4,3,39,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018 10:00 AM",5,1,1,37,29,"Monday",20.5555555555556,102.777777777778,10,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018 11:00 AM",1,4,2,8,15,"Monday",20.5555555555556,20.5555555555556,11,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018 12:00 PM",4,4,1,5,20,"Monday",20.5555555555556,82.2222222222222,12,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  1:00 PM",0,1,0,0,0,"Monday",20.5555555555556,0,13,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  3:00 PM",10,5,4,11,37,"Monday",20.5555555555556,205.555555555556,15,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  4:00 PM",4,7,2,1,10,"Monday",20.5555555555556,82.2222222222222,16,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  5:00 PM",5,3,3,2,32,"Monday",20.5555555555556,102.777777777778,17,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  6:00 PM",5,6,3,3,12,"Monday",20.5555555555556,102.777777777778,18,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  7:00 PM",6,4,2,19,17,"Monday",20.5555555555556,123.333333333333,19,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  8:00 PM",3,3,1,50,13,"Monday",20.5555555555556,61.6666666666667,20,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 22, 2018  9:00 PM",0,1,0,0,0,"Monday",20.5555555555556,0,21,2,5,2,38,206,4.7,16.35,0.29,0.14,0.05
"Jan 23, 2018 12:00 PM",3,3,1,10,24,"Tuesday",25.5,76.5,12,2,6,1,37,206,4.7,16.35,0.29,0.14,0.05
"Jan 23, 2018  2:00 PM",1,0,1,3,52,"Tuesday",25.5,25.5,14,2,6,1,37,206,4.7,16.35,0.29,0.14,0.05
"Jan 23, 2018  3:00 PM",1,1,0,0,0,"Tuesday",25.5,25.5,15,2,6,1,37,206,4.7,16.35,0.29,0.14,0.05
"Jan 23, 2018  6:00 PM",7,2,1,33,25,"Tuesday",25.5,178.5,18,2,6,1,37,206,4.7,16.35,0.29,0.14,0.05
"Jan 23, 2018  7:00 PM",0,5,1,0,1,"Tuesday",25.5,0,19,2,6,1,37,206,4.7,16.35,0.29,0.14,0.05
"Jan 24, 2018  2:00 PM",11,2,1,51,21,"Wednesday",14.3333333333333,157.666666666667,14,3,7,0,36,206,4.7,16.35,0.29,0.14,0.05
"Jan 24, 2018  3:00 PM",7,5,2,83,20,"Wednesday",14.3333333333333,100.333333333333,15,3,7,0,36,206,4.7,16.35,0.29,0.14,0.05
"Jan 24, 2018  4:00 PM",5,4,2,55,20,"Wednesday",14.3333333333333,71.6666666666667,16,3,7,0,36,206,4.7,16.35,0.29,0.14,0.05
"Jan 24, 2018  5:00 PM",7,7,2,73,14,"Wednesday",14.3333333333333,100.333333333333,17,3,7,0,36,206,4.7,16.35,0.29,0.14,0.05
"Jan 24, 2018  6:00 PM",5,6,1,73,9,"Wednesday",14.3333333333333,71.6666666666667,18,3,7,0,36,206,4.7,16.35,0.29,0.14,0.05
"Jan 24, 2018  7:00 PM",1,7,1,46,2,"Wednesday",14.3333333333333,14.3333333333333,19,3,7,0,36,206,4.7,16.35,0.29,0.14,0.05
"Jan 26, 2018 11:00 AM",12,1,1,63,17,"Friday",17.6666666666667,212,11,3,2,6,34,206,4.7,16.35,0.29,0.14,0.05
"Jan 26, 2018 12:00 PM",1,3,1,67,26,"Friday",17.6666666666667,17.6666666666667,12,3,2,6,34,206,4.7,16.35,0.29,0.14,0.05
"Jan 26, 2018  1:00 PM",0,5,1,0,10,"Friday",17.6666666666667,0,13,3,2,6,34,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  8:00 AM",3,0,1,6,35,"Sunday",19.2,57.6,8,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  9:00 AM",7,4,1,29,15,"Sunday",19.2,134.4,9,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018 10:00 AM",5,2,1,57,34,"Sunday",19.2,96,10,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018 11:00 AM",0,7,1,0,5,"Sunday",19.2,0,11,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  1:00 PM",7,0,2,15,24,"Sunday",19.2,134.4,13,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  2:00 PM",16,8,2,48,17,"Sunday",19.2,307.2,14,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  3:00 PM",9,10,2,97,12,"Sunday",19.2,172.8,15,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  4:00 PM",3,5,1,96,14,"Sunday",19.2,57.6,16,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  5:00 PM",0,4,1,0,19,"Sunday",19.2,0,17,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
"Jan 28, 2018  6:00 PM",0,5,1,0,17,"Sunday",19.2,0,18,3,4,4,32,206,4.7,16.35,0.29,0.14,0.05
