"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 8, 2018  6:00 PM",36,35,0.4,35,8.8,0,8.8,316.8,-1,4,33,1,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 9, 2018  6:00 PM",61,55,0.8,8.2,10.6,1,13.25,808.25,-1,3,32,2,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 10, 2018  6:00 PM",55,52,0.6,17.6,10.4,2,13,715,-1,2,31,2,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 11, 2018  5:00 PM",38,38,0,2.4,8,3,10,380,-1,1,30,2,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 12, 2018  6:00 PM",37,24,0.4,21,8.4,4,10.5,388.5,-1,0,29,2,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 15, 2018  6:00 PM",55,43,0.6,40.8,16.6,0,16.6,913,3,4,26,2,18,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 16, 2018  6:00 PM",76,70,0.8,12.2,10.6,1,13.25,1007,4,3,25,3,18,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 17, 2018  6:00 PM",68,59,0.4,35.2,10.8,2,13.5,918,5,2,24,3,18,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 18, 2018  6:00 PM",46,40,1,11,16,3,16,736,6,1,23,3,18,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 19, 2018  6:00 PM",34,28,0.5,27,16.75,4,16.75,569.5,7,0,22,3,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 22, 2018  6:00 PM",45,36,0.4,54,12.8,0,12.8,576,3,9,19,3,18,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 23, 2018  6:00 PM",78,69,0.8,27.4,10.4,1,13,1014,4,8,18,4,18,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 24, 2018  5:00 PM",46,41,0,50.5,12.1666666666667,2,18.25,839.5,5,7,17,4,17,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,6
"Apr 25, 2018  6:00 PM",75,68,0.8,20.2,7.8,3,7.8,585,6,6,16,4,18,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 26, 2018  6:00 PM",44,22,0.4,20.8,21.4,4,26.75,1177,7,5,15,4,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"Apr 28, 2018 12:00 PM",37,25,0.333333333333333,74,8.66666666666667,6,10.4,384.8,9,3,13,4,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,6
"Apr 29, 2018  5:00 PM",41,34,0,52.5,18,0,21.6,885.6,10,2,12,4,17,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,6
"Apr 30, 2018  7:00 PM",36,29,1,4.25,12.75,1,12.75,459,11,1,11,5,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"May 1, 2018  6:00 PM",48,45,0.6,27.2,10,2,12.5,600,12,0,10,5,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,5
"May 2, 2018  5:00 PM",3,0,0,0,0,3,100,300,1,8,9,5,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,2
