"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"1/16/18 13:00",33,33,1,10,2.5,2,2.5,82.5,-1,3,62,2,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,2
"1/17/18 19:00",78,66,0.666666666666667,22,4.33333333333333,3,4.333333333,337.99999993,-1,2,61,2,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,3
"1/18/18 17:00",48,46,0,6.25,3,4,4,192,-1,1,60,2,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,4
"1/23/18 13:00",10,10,1,15.5,5,2,10,100,4,3,55,3,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,2
"1/24/18 19:00",75,58,0.5,18,6,3,6,450,5,2,54,3,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,4
"1/25/18 17:00",48,47,0.5,13,4.5,4,6,288,6,1,53,3,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,4
"1/30/18 13:00",19,18,1.5,5.5,9,2,9,171,4,2,48,4,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,2
"1/31/18 19:00",55,47,1,14.6666666666667,7,3,7,385,5,1,47,4,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,3
"2/1/18 18:00",36,33,1,9,3.33333333333333,4,5,180,6,0,46,4,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,3
"2/6/18 13:00",24,23,1.5,75.5,3,2,3,72,5,3,41,5,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,2
"2/7/18 18:00",66,63,0.5,9.75,3.75,3,3.75,247.5,6,2,40,5,18,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,4
"2/8/18 18:00",43,27,1,13.3333333333333,7.33333333333333,4,11,473,7,1,39,5,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,3
"2/13/18 13:00",11,3,0.5,1450,0,2,100,1100,4,3,34,6,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,2
"2/14/18 18:00",41,37,0.2,7.8,3.4,3,4.25,174.25,5,2,33,6,18,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,5
"2/15/18 17:00",35,32,0.25,22.25,8.25,4,8.25,288.75,6,1,32,6,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,4
"2/20/18 13:00",2,1,0.5,0,17.5,2,35,70,4,7,27,7,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,2
"2/21/18 19:00",6,5,0.333333333333333,11,1.33333333333333,3,2,12,5,6,26,7,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04,3
