"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Jan 17, 2017 10:00 AM",26,15,0,34,14.1428571428571,2,19.8,514.8,-1,9,28,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,7
"Jan 18, 2017 12:00 PM",56,39,0.142857142857143,25.1428571428571,11.8571428571429,3,11.8571428571429,664,-1,8,27,2,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,7
"Jan 19, 2017  9:00 AM",69,46,0.0833333333333333,34.75,13.5833333333333,4,14.8181818181818,1022.45454545455,-1,7,26,2,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,12
"Jan 20, 2017 10:00 AM",49,23,0,34.4285714285714,8.42857142857143,5,19.6666666666667,963.666666666668,-1,6,25,2,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,7
"Jan 23, 2017 12:00 PM",167,83,0,32.0909090909091,7.90909090909091,1,9.66666666666667,1614.33333333333,-1,3,22,3,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,11
"Jan 24, 2017  9:00 AM",95,57,0,82.8181818181818,5,2,6.11111111111111,580.555555555555,-1,2,21,3,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,11
"Jan 25, 2017 12:00 PM",86,43,0.142857142857143,100.571428571429,14.2857142857143,3,14.2857142857143,1228.57142857143,-1,1,20,3,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,7
"Jan 26, 2017  9:00 AM",95,64,0.0714285714285714,84.9285714285714,17.2142857142857,4,18.5384615384615,1761.15384615385,-1,0,19,3,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,14
"Jan 27, 2017  8:00 AM",65,38,0,19.5555555555556,13.2222222222222,5,19.8333333333333,1289.16666666667,1,13,18,3,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,9
"Jan 30, 2017  1:00 PM",36,29,0.125,22,13.625,1,15.5714285714286,560.571428571429,4,10,15,4,13,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,8
"Jan 31, 2017  9:00 AM",73,52,0.0833333333333333,24.5,7.66666666666667,2,8.36363636363636,610.545454545454,5,9,14,4,9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,12
"Feb 1, 2017 12:00 PM",32,27,0.125,14.25,14,3,18.6666666666667,597.333333333333,6,8,13,4,12,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,8
"Feb 2, 2017  9:00 AM",64,53,0.0909090909090909,20.9090909090909,9.63636363636364,4,9.63636363636364,616.727272727273,7,7,12,4,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,414,4,13.7,0.03,0.54,0.11,11
