"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Sep 25, 2018 12:00 PM",15,11,0.166666666666667,373.5,7,2,14,210,-1,22,43,11,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,6
"Sep 27, 2018 10:00 AM",11,9,0.142857142857143,100.285714285714,3,4,7,77,-1,20,41,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,634,4.1,15.3,0.04,0.49,0.21,7
"Sep 28, 2018  8:00 AM",9,9,0.2,1.8,7.8,5,13,117,-1,19,40,1,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,634,4.1,15.3,0.04,0.49,0.21,5
"Oct 1, 2018  1:00 PM",24,22,0.2,8,8.8,1,8.8,211.2,-1,16,37,1,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,5
"Oct 2, 2018 10:00 AM",18,18,0.111111111111111,5.55555555555556,8.44444444444444,2,10.8571428571429,195.428571428572,-1,15,36,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,634,4.1,15.3,0.04,0.49,0.21,9
"Oct 3, 2018  1:00 PM",13,11,0.25,229.5,4.25,3,8.5,110.5,-1,14,35,2,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 4, 2018  8:00 AM",26,25,0.0833333333333333,6.25,12.5833333333333,4,15.1,392.6,-1,13,34,2,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,12
"Oct 5, 2018  7:00 AM",47,43,0,21.2307692307692,6.30769230769231,5,8.2,385.4,-1,12,33,2,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,13
"Oct 8, 2018  1:00 PM",67,51,0.1,116.1,8.4,1,10.5,703.5,-1,9,30,2,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,10
"Oct 9, 2018 10:00 AM",75,66,0.0909090909090909,52.9090909090909,13.2727272727273,2,13.2727272727273,995.454545454545,-1,8,29,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,11
