,sign_ups,serves,servers,average_wait_time,average_serve_time,index,day,avgDayServeTime,loadInflux,daysAfterPrevAssnDue,daysUntilNextAssnDue,daysTilExam,weekNum,hourOfDay,monday,tuesday,wednesday,thursday,friday,saturday,sunday,morning,noon,afternoon,evening,L10daysAfterPrevAssnDue,L5daysAfterPrevAssnDue,L3daysAfterPrevAssnDue,L1daysAfterPrevAssnDue,L10daysUntilNextAssnDue,L5daysUntilNextAssnDue,L3daysUntilNextAssnDue,L1daysUntilNextAssnDue,L10daysTilExam,L5daysTilExam,L3daysTilExam,L1daysTilExam,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs
4/10/17 9:00,0,0,0,0,0,9,1,17,0,-1,1,18,2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 10:00,0,0,0,0,0,10,1,17,0,-1,1,18,2,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 11:00,0,0,0,0,0,11,1,17,0,-1,1,18,2,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 12:00,0,0,0,0,0,12,1,17,0,-1,1,18,2,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 13:00,0,0,0,0,0,13,1,17,0,-1,1,18,2,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 14:00,0,0,0,0,0,14,1,17,0,-1,1,18,2,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 15:00,0,0,0,0,0,15,1,17,0,-1,1,18,2,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 16:00,0,0,0,0,0,16,1,17,0,-1,1,18,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 17:00,0,0,0,0,0,17,1,17,0,-1,1,18,2,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 18:00,1,1,1,3,17,18,1,17,17,-1,1,18,2,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 19:00,0,0,0,0,0,19,1,17,0,-1,1,18,2,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 20:00,0,0,0,0,0,20,1,17,0,-1,1,18,2,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/10/17 21:00,0,0,0,0,0,21,1,17,0,-1,1,18,2,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 9:00,0,0,0,0,0,33,2,11.33333333,0,-1,0,17,2,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 10:00,0,0,0,0,0,34,2,11.33333333,0,-1,0,17,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 11:00,0,0,0,0,0,35,2,11.33333333,0,-1,0,17,2,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 12:00,1,1,1,2,7,36,2,11.33333333,11.33333333,-1,0,17,2,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 13:00,0,0,0,0,0,37,2,11.33333333,0,-1,0,17,2,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 14:00,0,0,0,0,0,38,2,11.33333333,0,-1,0,17,2,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 15:00,1,0,0,68,0,39,2,11.33333333,11.33333333,-1,0,17,2,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 16:00,1,0,0,8,0,40,2,11.33333333,11.33333333,-1,0,17,2,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
4/11/17 17:00,1,2,2,9,6,41,2,11.33333333,11.33333333,-1,0,17,2,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,184,4.3,16.35,0.29,0.14,0.05
