"","sign_ups","serves","servers","average_wait_time","average_serve_time","index","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Apr 8, 2018  5:00 PM",0,0,0,0,0,329,0,8.8,0,-1,4,33,1,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018  6:00 PM",13,7,2,21,12,330,0,8.8,114.4,-1,4,33,1,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018  7:00 PM",11,12,2,29,8,331,0,8.8,96.8,-1,4,33,1,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018  8:00 PM",11,5,1,74,12,332,0,8.8,96.8,-1,4,33,1,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018  9:00 PM",1,6,2,51,5,333,0,8.8,8.8,-1,4,33,1,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  9:00 AM",0,0,0,0,0,9,1,13.25,0,-1,3,32,2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018 10:00 AM",0,0,0,0,0,10,1,13.25,0,-1,3,32,2,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018 11:00 AM",0,0,0,0,0,11,1,13.25,0,-1,3,32,2,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018 12:00 PM",0,0,0,0,0,12,1,13.25,0,-1,3,32,2,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  1:00 PM",0,0,0,0,0,13,1,13.25,0,-1,3,32,2,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  2:00 PM",0,0,0,0,0,14,1,13.25,0,-1,3,32,2,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  3:00 PM",0,0,0,0,0,15,1,13.25,0,-1,3,32,2,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  4:00 PM",0,0,0,0,0,16,1,13.25,0,-1,3,32,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  5:00 PM",0,0,0,0,0,17,1,13.25,0,-1,3,32,2,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
