"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","index"
"Jan 8, 2018  9:00 AM",0,0,0,0,0,1,-1,0,-1,17,36,1,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,177
"Jan 8, 2018 10:00 AM",0,0,0,0,0,1,-1,0,-1,17,36,1,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,178
"Jan 8, 2018 11:00 AM",0,0,0,0,0,1,-1,0,-1,17,36,1,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,179
"Jan 8, 2018 12:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,180
"Jan 8, 2018  1:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,181
"Jan 8, 2018  2:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,182
"Jan 8, 2018  3:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,183
"Jan 8, 2018  4:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,184
"Jan 8, 2018  5:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,185
"Jan 8, 2018  6:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,186
"Jan 8, 2018  7:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,187
"Jan 8, 2018  8:00 PM",0,0,0,0,0,1,-1,0,-1,17,36,1,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11,188
