"","sign_ups","serves","servers","average_wait_time","average_serve_time","index","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Sep 24, 2018 11:00 AM",0,0,0,0,0,179,1,15,0,-1,23,44,1,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018 12:00 PM",0,0,0,0,0,180,1,15,0,-1,23,44,1,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  1:00 PM",0,0,0,0,0,181,1,15,0,-1,23,44,1,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  2:00 PM",0,0,0,0,0,182,1,15,0,-1,23,44,1,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  3:00 PM",0,0,0,0,0,183,1,15,0,-1,23,44,1,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  4:00 PM",0,0,0,0,0,184,1,15,0,-1,23,44,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  5:00 PM",0,0,0,0,0,185,1,15,0,-1,23,44,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  6:00 PM",0,0,0,0,0,186,1,15,0,-1,23,44,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  7:00 PM",0,0,0,0,0,187,1,15,0,-1,23,44,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  8:00 PM",0,0,0,0,0,188,1,15,0,-1,23,44,1,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 24, 2018  9:00 PM",0,0,0,0,0,189,1,15,0,-1,23,44,1,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  9:00 AM",0,0,0,0,0,201,2,14,0,-1,22,43,1,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018 10:00 AM",0,0,0,0,0,202,2,14,0,-1,22,43,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018 11:00 AM",0,0,0,0,0,203,2,14,0,-1,22,43,1,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018 12:00 PM",1,0,1,0,0,204,2,14,14,-1,22,43,1,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  1:00 PM",4,2,1,7,11,205,2,14,56,-1,22,43,1,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  2:00 PM",0,0,0,0,0,206,2,14,0,-1,22,43,1,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  3:00 PM",0,0,0,0,0,207,2,14,0,-1,22,43,1,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  4:00 PM",0,0,0,0,0,208,2,14,0,-1,22,43,1,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  5:00 PM",0,0,0,0,0,209,2,14,0,-1,22,43,1,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  6:00 PM",6,3,1,16,19,210,2,14,84,-1,22,43,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  7:00 PM",2,5,1,6,12,211,2,14,28,-1,22,43,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  8:00 PM",1,1,1,7,0,212,2,14,14,-1,22,43,1,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  9:00 PM",1,0,0,2205,0,213,2,14,14,-1,22,43,1,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  9:00 AM",0,0,0,0,0,225,3,15,0,-1,21,42,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018 10:00 AM",0,0,0,0,0,226,3,15,0,-1,21,42,1,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018 11:00 AM",0,0,0,0,0,227,3,15,0,-1,21,42,1,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018 12:00 PM",0,0,0,0,0,228,3,15,0,-1,21,42,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  1:00 PM",0,0,0,0,0,229,3,15,0,-1,21,42,1,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  2:00 PM",0,0,0,0,0,230,3,15,0,-1,21,42,1,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  3:00 PM",0,0,0,0,0,231,3,15,0,-1,21,42,1,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  4:00 PM",0,0,0,0,0,232,3,15,0,-1,21,42,1,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  5:00 PM",0,0,0,0,0,233,3,15,0,-1,21,42,1,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  6:00 PM",0,0,0,0,0,234,3,15,0,-1,21,42,1,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  7:00 PM",0,0,0,0,0,235,3,15,0,-1,21,42,1,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  8:00 PM",0,0,0,0,0,236,3,15,0,-1,21,42,1,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 26, 2018  9:00 PM",0,0,0,0,0,237,3,15,0,-1,21,42,1,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 27, 2018  9:00 AM",0,0,0,0,0,249,4,7,0,-1,20,41,1,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 27, 2018 10:00 AM",0,1,1,0,0,250,4,7,0,-1,20,41,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 27, 2018 11:00 AM",0,0,0,0,0,251,4,7,0,-1,20,41,1,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
