,sign_ups,serves,servers,average_wait_time,average_serve_time,day,avgDayServeTime,loadInflux,daysAfterPrevAssnDue,daysUntilNextAssnDue,daysTilExam,weekNum,hourOfDay,monday,tuesday,wednesday,thursday,friday,saturday,sunday,morning,noon,afternoon,evening,L10daysAfterPrevAssnDue,L5daysAfterPrevAssnDue,L3daysAfterPrevAssnDue,L1daysAfterPrevAssnDue,L10daysUntilNextAssnDue,L5daysUntilNextAssnDue,L3daysUntilNextAssnDue,L1daysUntilNextAssnDue,L10daysTilExam,L5daysTilExam,L3daysTilExam,L1daysTilExam,isFirstOHWithinLastThreeHour,isFirstOHWithinLastSixHour,isLastOHWithinNextThreeHour,isLastOHWithinNextSixHour,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs,NumEntriesInInt
10/1/18 18:00,3,3,2,1,15.5,1,15.5,46.5,-1,0,32,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/3/18 10:00,4,3,1,3.5,12.5,3,12,48,2,5,30,2,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/3/18 12:00,1,2,1,1,10,3,12,12,2,5,30,2,12,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,1
10/3/18 14:00,4,4,1,0.5,12.5,3,12,48,2,5,30,2,14,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/4/18 9:00,2,2,1,0.5,12,4,10.2,20.4,3,4,29,2,9,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/4/18 14:00,9,9,1,10,11,4,10.2,91.8,3,4,29,2,14,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/4/18 16:00,8,7,2,1,2.5,4,10.2,81.6,3,4,29,2,16,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/5/18 16:00,19,16,2,19.5,15.5,5,15.5,294.5,4,3,28,2,16,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/5/18 18:00,0,3,0,0,0,5,15.5,0,4,3,28,2,18,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,220,4.5,16.35,0.29,0.14,0.05,1
10/8/18 13:00,22,13,2,47,14.5,1,12.6,277.2,7,0,25,2,13,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,220,4.5,16.35,0.29,0.14,0.05,2
10/8/18 15:00,1,8,2,0,11,1,12.6,12.6,7,0,25,2,15,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,220,4.5,16.35,0.29,0.14,0.05,1
10/8/18 18:00,23,18,2,25.5,11.5,1,12.6,289.8,7,0,25,2,18,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,220,4.5,16.35,0.29,0.14,0.05,2
