"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Jan 9, 2018  5:00 PM",1,1,1,0,21,2,21,21,-1,8,51,17,11,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 15, 2018  3:00 PM",1,1,1,1,7,1,7,7,-1,2,45,15,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 16, 2018  3:00 PM",5,3,1,17,12,2,14,70,-1,1,44,15,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 16, 2018  5:00 PM",2,4,1,8,4,2,14,28,-1,1,44,17,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 17, 2018  3:00 PM",9,2,1,34,7.5,3,11.2,100.8,-1,0,43,15,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 17, 2018  5:00 PM",6,9,2,14.5,15,3,11.2,67.2,-1,0,43,17,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 17, 2018  7:00 PM",5,5,1,0.5,5.5,3,11.2,56,-1,0,43,19,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 18, 2018  2:00 PM",15,10,1,21.5,11,4,11,165,1,6,42,14,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 18, 2018  4:00 PM",0,1,0,0,0,4,11,0,1,6,42,16,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 19, 2018 10:00 AM",16,7,1,31.5,12,5,18,288,2,5,41,10,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 19, 2018 12:00 PM",0,5,1,0,5,5,18,0,2,5,41,12,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 19, 2018  4:00 PM",25,4,1,153.5,19.5,5,18,450,2,5,41,16,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 19, 2018  6:00 PM",0,11,2,0,30.5,5,18,0,2,5,41,18,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 19, 2018  8:00 PM",0,7,2,0,15,5,18,0,2,5,41,20,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 21, 2018 10:00 AM",8,3,1,61.5,25,0,16.6666666666667,133.333333333333,4,3,39,10,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 21, 2018 12:00 PM",23,7,1,73.5,21,0,16.6666666666667,383.333333333334,4,3,39,12,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 21, 2018  2:00 PM",11,12,2,116.5,14,0,16.6666666666667,183.333333333333,4,3,39,14,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 21, 2018  4:00 PM",8,12,1,52,13,0,16.6666666666667,133.333333333333,4,3,39,16,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 21, 2018  6:00 PM",0,7,1,0,4,0,16.6666666666667,0,4,3,39,18,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 22, 2018 10:00 AM",6,5,1,22.5,22,1,20.5555555555556,123.333333333334,5,2,38,10,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 22, 2018 12:00 PM",4,5,1,2.5,10,1,20.5555555555556,82.2222222222222,5,2,38,12,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 22, 2018  3:00 PM",14,12,4,6,23.5,1,20.5555555555556,287.777777777778,5,2,38,15,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 22, 2018  5:00 PM",10,9,3,2.5,22,1,20.5555555555556,205.555555555556,5,2,38,17,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 22, 2018  7:00 PM",9,7,2,34.5,15,1,20.5555555555556,185,5,2,38,19,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 22, 2018  9:00 PM",0,1,0,0,0,1,20.5555555555556,0,5,2,38,21,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 23, 2018 12:00 PM",3,3,1,10,24,2,25.5,76.5,6,1,37,12,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 23, 2018  2:00 PM",2,1,1,1.5,26,2,25.5,51,6,1,37,14,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 23, 2018  6:00 PM",7,7,1,16.5,13,2,25.5,178.5,6,1,37,18,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
