"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 12, 2017  6:00 PM",16,0,0,75,31,3,37.8,604.8,-1,2,21,2,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 12, 2017  8:00 PM",8,5,1,0,36,3,37.8,302.4,-1,2,21,2,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 12, 2017 10:00 PM",0,4,1,0,27.5,3,37.8,0,-1,2,21,2,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 13, 2017 12:00 AM",0,1,0,0,0,4,6.9,0,-1,1,20,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,93,4,10.12,0.04,0.27,0.08,1
"Apr 13, 2017  1:00 PM",27,15,1,28.5,4,4,6.9,186.3,-1,1,20,2,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 13, 2017  3:00 PM",20,15,2,121,4,4,6.9,138,-1,1,20,2,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 13, 2017  5:00 PM",18,22,1,58.5,5,4,6.9,124.2,-1,1,20,2,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 13, 2017  7:00 PM",0,7,1,0,2,4,6.9,0,-1,1,20,2,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,1
"Apr 13, 2017  9:00 PM",13,5,1,53.5,20,4,6.9,89.7,-1,1,20,2,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 13, 2017 11:00 PM",0,7,1,0,1,4,6.9,0,-1,1,20,2,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,93,4,10.12,0.04,0.27,0.08,1
"Apr 17, 2017 11:00 AM",14,12,1,6.5,4.5,1,4.5,63,3,4,16,2,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 18, 2017  7:00 PM",22,5,1,98.5,16.5,2,24,528,4,3,15,2,19,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 18, 2017  9:00 PM",7,12,2,117,34.5,2,24,168,4,3,15,2,21,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 18, 2017 11:00 PM",2,11,1,41,9,2,24,48,4,3,15,2,23,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 19, 2017  9:00 AM",11,4,0,20.5,6.5,3,19.75,217.25,5,2,14,3,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 19, 2017 11:00 AM",14,19,1,17,2.5,3,19.75,276.5,5,2,14,3,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 19, 2017  1:00 PM",9,10,1,8,0.5,3,19.75,177.75,5,2,14,3,13,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 19, 2017  6:00 PM",22,1,1,116.5,40,3,19.75,434.5,5,2,14,3,18,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 19, 2017  8:00 PM",5,5,1,0,14,3,19.75,98.75,5,2,14,3,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 19, 2017 10:00 PM",1,1,0,0,15.5,3,19.75,19.75,5,2,14,3,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 20, 2017 12:00 AM",0,1,1,0,0,4,6.57142857142857,0,6,1,13,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,93,4,10.12,0.04,0.27,0.08,1
"Apr 20, 2017  9:00 AM",10,6,1,57,4,4,6.57142857142857,65.7142857142857,6,1,13,3,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 20, 2017  1:00 PM",24,18,1,46,3.5,4,6.57142857142857,157.714285714286,6,1,13,3,13,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 20, 2017  3:00 PM",20,7,0,56.5,8.5,4,6.57142857142857,131.428571428571,6,1,13,3,15,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 20, 2017  5:00 PM",15,24,1,4287,3.5,4,6.57142857142857,98.5714285714286,6,1,13,3,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 20, 2017  7:00 PM",0,2,1,0,7,4,6.57142857142857,0,6,1,13,3,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,93,4,10.12,0.04,0.27,0.08,1
"Apr 25, 2017  7:00 PM",25,14,1,128.5,4.5,2,5.4,135,4,3,8,3,19,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 25, 2017  9:00 PM",8,9,2,119,7.5,2,5.4,43.2,4,3,8,3,21,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 25, 2017 11:00 PM",0,16,1,0,2.5,2,5.4,0,4,3,8,3,23,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 26, 2017 10:00 AM",21,4,1,50.5,58,3,21.5555555555556,452.666666666667,5,2,7,4,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 26, 2017 12:00 PM",13,23,2,32.5,0.5,3,21.5555555555556,280.222222222222,5,2,7,4,12,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 26, 2017  2:00 PM",3,0,0,0,0,3,21.5555555555556,64.6666666666667,5,2,7,4,14,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,93,4,10.12,0.04,0.27,0.08,1
"Apr 26, 2017  6:00 PM",19,4,0,80,6,3,21.5555555555556,409.555555555556,5,2,7,4,18,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 26, 2017  8:00 PM",14,8,1,189.5,19.5,3,21.5555555555556,301.777777777778,5,2,7,4,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 26, 2017 10:00 PM",1,8,1,0,12,3,21.5555555555556,21.5555555555556,5,2,7,4,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 27, 2017  9:00 AM",8,5,1,54,0.5,4,11.6363636363636,93.0909090909091,6,1,6,4,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 27, 2017  1:00 PM",36,23,2,71,3.5,4,11.6363636363636,418.909090909091,6,1,6,4,13,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 27, 2017  3:00 PM",19,8,1,134,26,4,11.6363636363636,221.090909090909,6,1,6,4,15,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 27, 2017  5:00 PM",9,20,2,92.5,12,4,11.6363636363636,104.727272727273,6,1,6,4,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 27, 2017  7:00 PM",0,12,2,0,1,4,11.6363636363636,0,6,1,6,4,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,1
"Apr 27, 2017  9:00 PM",16,7,1,77,20,4,11.6363636363636,186.181818181818,6,1,6,4,21,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"Apr 27, 2017 11:00 PM",0,8,1,0,3,4,11.6363636363636,0,6,1,6,4,23,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,93,4,10.12,0.04,0.27,0.08,1
"Apr 28, 2017 12:00 PM",2,0,0,0,0,5,100,200,7,0,5,4,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,93,4,10.12,0.04,0.27,0.08,1
"May 2, 2017  7:00 PM",23,10,1,107.5,8.5,2,9.25,212.75,4,6,1,4,19,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"May 2, 2017  9:00 PM",4,7,2,99.5,10,2,9.25,37,4,6,1,4,21,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"May 2, 2017 11:00 PM",1,8,1,37.5,0,2,9.25,9.25,4,6,1,4,23,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"May 3, 2017 10:00 AM",12,8,1,17.5,14.5,3,16.375,196.5,5,5,0,5,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"May 3, 2017 12:00 PM",6,7,1,21.5,11,3,16.375,98.25,5,5,0,5,12,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"May 3, 2017  2:00 PM",0,1,0,0,0,3,16.375,0,5,5,0,5,14,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,93,4,10.12,0.04,0.27,0.08,1
"May 3, 2017  7:00 PM",11,7,1,16.5,9.5,3,16.375,180.125,5,5,0,5,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,93,4,10.12,0.04,0.27,0.08,2
"May 3, 2017  9:00 PM",3,4,1,10,30.5,3,16.375,49.125,5,5,0,5,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,93,4,10.12,0.04,0.27,0.08,2
"May 3, 2017 11:00 PM",0,1,0,0,0,3,16.375,0,5,5,0,5,23,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,93,4,10.12,0.04,0.27,0.08,1
"May 4, 2017  9:00 AM",1,0,0,0,0,4,11,11,6,4,36,5,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,93,4,10.12,0.04,0.27,0.08,1
