"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Jan 9, 2018  5:00 PM",1,1,1,0,21,2,21,21,-1,8,51,11,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 15, 2018  3:00 PM",1,1,1,1,7,1,7,7,-1,2,45,1,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 16, 2018  3:00 PM",7,7,1,14,9.33333333333333,2,14,98,-1,1,44,1,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,3
"Jan 17, 2018  3:00 PM",15,11,1,24.25,11.25,3,11.2,168,-1,0,43,2,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,4
"Jan 17, 2018  7:00 PM",5,5,1,0.5,5.5,3,11.2,56,-1,0,43,2,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 18, 2018  2:00 PM",15,11,1,14.3333333333333,7.33333333333333,4,11,165,1,6,42,2,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,3
"Jan 19, 2018 10:00 AM",16,12,1,21,9.66666666666667,5,18,288,2,5,41,2,10,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,3
"Jan 19, 2018  4:00 PM",25,15,1,76.75,25,5,18,450,2,5,41,2,16,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,4
"Jan 19, 2018  8:00 PM",0,7,2,0,15,5,18,0,2,5,41,2,20,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 21, 2018 10:00 AM",31,10,1,67.5,23,0,16.6666666666667,516.666666666667,4,3,39,2,10,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,4
