"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 8, 2018  6:00 PM",36,30,2,43.75,9.25,0,8.8,316.8,-1,4,33,18,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 8, 2018 10:00 PM",0,5,1,0,7,0,8.8,0,-1,4,33,22,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
"Apr 9, 2018  6:00 PM",61,54,4,10.25,13.25,1,13.25,808.25,-1,3,32,18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 9, 2018 10:00 PM",0,1,0,0,0,1,13.25,0,-1,3,32,22,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
"Apr 10, 2018  6:00 PM",55,46,3,22,13,2,13,715,-1,2,31,18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 10, 2018 10:00 PM",0,6,1,0,0,2,13,0,-1,2,31,22,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
"Apr 11, 2018  5:00 PM",33,31,0,2.25,8,3,10,330,-1,1,30,17,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 11, 2018  9:00 PM",5,7,3,3,8,3,10,50,-1,1,30,21,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
"Apr 12, 2018  6:00 PM",37,23,2,26.25,10.5,4,10.5,388.5,-1,0,29,18,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 12, 2018 10:00 PM",0,1,1,0,0,4,10.5,0,-1,0,29,22,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
"Apr 15, 2018  6:00 PM",55,40,3,51,17.5,0,16.6,913,3,4,26,18,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 15, 2018 10:00 PM",0,3,1,0,13,0,16.6,0,3,4,26,22,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
"Apr 16, 2018  6:00 PM",76,67,4,15.25,13.25,1,13.25,1007,4,3,25,18,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 16, 2018 10:00 PM",0,3,0,0,0,1,13.25,0,4,3,25,22,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
"Apr 17, 2018  6:00 PM",64,54,2,32.75,13.5,2,13.5,864,5,2,24,18,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,4
"Apr 17, 2018 10:00 PM",4,5,1,45,0,2,13.5,54,5,2,24,22,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02,1
