"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Oct 2, 2017  6:00 PM",12,11,1,13.6666666666667,9.66666666666667,1,9.66666666666667,116,-1,4,28,18,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,3
"Oct 3, 2017  7:00 PM",8,6,1,10,19.5,2,19.5,156,-1,3,27,19,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,2
"Oct 4, 2017  3:00 PM",11,9,1,11.3333333333333,8,3,7.6,83.6,-1,2,26,15,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,3
"Oct 4, 2017  7:00 PM",8,8,1,7.5,7,3,7.6,60.8,-1,2,26,19,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,64,4.5,10.12,0.04,0.27,0.08,2
"Oct 5, 2017  1:00 PM",22,14,1,53.75,9.5,4,8.375,184.25,-1,1,25,13,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,4
"Oct 5, 2017  5:00 PM",7,11,1,5.5,7.25,4,8.375,58.625,-1,1,25,17,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,64,4.5,10.12,0.04,0.27,0.08,4
"Oct 9, 2017  6:00 PM",9,9,0,13,5.66666666666667,1,8.5,76.5,3,4,21,18,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,3
"Oct 10, 2017  7:00 PM",9,8,1,37,11.6666666666667,2,17.5,157.5,4,3,20,19,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,3
"Oct 11, 2017 12:00 AM",0,1,1,0,0,3,10.7142857142857,0,5,2,19,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,64,4.5,10.12,0.04,0.27,0.08,1
"Oct 11, 2017  3:00 PM",13,12,1,23.75,12,3,10.7142857142857,139.285714285714,5,2,19,15,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,4
"Oct 11, 2017  7:00 PM",13,13,1,25,6.75,3,10.7142857142857,139.285714285714,5,2,19,19,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,4.5,10.12,0.04,0.27,0.08,4
"Oct 12, 2017  1:00 PM",32,15,1,133,5.5,4,7.6,243.2,6,1,18,13,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,64,4.5,10.12,0.04,0.27,0.08,4
"Oct 12, 2017  5:00 PM",10,18,1,63.25,4,4,7.6,76,6,1,18,17,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,4.5,10.12,0.04,0.27,0.08,4
