"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Jan 12, 2017  6:00 PM",1,1,1,0,26,4,26,26,-1,8,67,1,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,154,4.5,8.8,0.02,0.2,0.04
"Jan 17, 2017  1:00 PM",10,9,2,2,6,2,6,60,-1,3,62,2,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 17, 2017  2:00 PM",7,8,1,0,6,2,6,42,-1,3,62,2,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Jan 18, 2017  7:00 PM",10,7,2,12,10,3,8.5,85,-1,2,61,2,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 18, 2017  8:00 PM",5,4,2,14,7,3,8.5,42.5,-1,2,61,2,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 18, 2017  9:00 PM",0,3,1,0,0,3,8.5,0,-1,2,61,2,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Jan 19, 2017  6:00 PM",6,3,2,34,5,4,5.5,33,-1,1,60,2,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 19, 2017  7:00 PM",6,4,1,30,6,4,5.5,33,-1,1,60,2,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 19, 2017  9:00 PM",0,2,1,0,0,4,5.5,0,-1,1,60,2,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Jan 24, 2017  1:00 PM",13,6,2,15,9,2,7,91,4,3,55,3,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 24, 2017  2:00 PM",16,12,2,18,5,2,7,112,4,3,55,3,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Jan 25, 2017  7:00 PM",16,7,2,21,10,3,9,144,5,2,54,3,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 25, 2017  8:00 PM",17,12,3,37,17,3,9,153,5,2,54,3,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 25, 2017  9:00 PM",14,16,3,28,6,3,9,126,5,2,54,3,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 25, 2017 10:00 PM",1,7,2,10,3,3,9,9,5,2,54,3,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Jan 26, 2017  6:00 PM",17,12,3,2,9,4,11.5,195.5,6,1,53,3,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 26, 2017  7:00 PM",7,5,2,5,14,4,11.5,80.5,6,1,53,3,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 26, 2017  8:00 PM",0,4,1,0,0,4,11.5,0,6,1,53,3,20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Jan 31, 2017  1:00 PM",4,1,1,24,8,2,7,28,4,2,48,4,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 31, 2017  2:00 PM",5,7,1,64,6,2,7,35,4,2,48,4,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,154,4.5,8.8,0.02,0.2,0.04
"Jan 31, 2017  7:00 PM",0,1,1,0,0,2,7,0,4,2,48,4,19,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 1, 2017  7:00 PM",3,3,2,3,7,3,4,12,5,1,47,4,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 1, 2017  8:00 PM",4,3,2,8,1,3,4,16,5,1,47,4,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 1, 2017  9:00 PM",2,2,1,13,0,3,4,8,5,1,47,4,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 2, 2017  6:00 PM",15,10,3,5,6,4,5,75,6,0,46,4,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 2, 2017  7:00 PM",11,14,3,6,4,4,5,55,6,0,46,4,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 2, 2017  8:00 PM",0,1,0,0,0,4,5,0,6,0,46,4,20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 7, 2017  1:00 PM",17,8,2,17,8,2,4.5,76.5,5,3,41,5,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 7, 2017  2:00 PM",12,17,3,157,1,2,4.5,54,5,3,41,5,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 8, 2017  7:00 PM",17,9,3,27,10,3,8.33333333333333,141.666666666667,6,2,40,5,19,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 8, 2017  8:00 PM",12,7,2,46,9,3,8.33333333333333,100,6,2,40,5,20,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 8, 2017  9:00 PM",6,10,2,0,6,3,8.33333333333333,50,6,2,40,5,21,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 8, 2017 10:00 PM",0,1,0,0,0,3,8.33333333333333,0,6,2,40,5,22,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 9, 2017  6:00 PM",15,6,2,13,6,4,6.5,97.5,7,1,39,5,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 9, 2017  7:00 PM",9,7,2,842,7,4,6.5,58.5,7,1,39,5,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 10, 2017 11:00 AM",0,6,1,0,0,5,100,0,8,0,38,5,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 14, 2017  1:00 PM",5,0,1,22,2,2,3.5,17.5,4,3,34,6,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 14, 2017  2:00 PM",8,10,2,34,5,2,3.5,28,4,3,34,6,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 14, 2017  5:00 PM",0,1,1,0,0,2,3.5,0,4,3,34,6,17,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 15, 2017  6:00 PM",1,0,0,2,0,3,9,9,5,2,33,6,18,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 15, 2017  7:00 PM",3,4,2,1,9,3,9,27,5,2,33,6,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 15, 2017  8:00 PM",11,3,2,14,14,3,9,99,5,2,33,6,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 15, 2017  9:00 PM",13,12,3,12,11,3,9,117,5,2,33,6,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 15, 2017 10:00 PM",2,7,2,3,2,3,9,18,5,2,33,6,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 16, 2017  5:00 PM",4,1,1,4,0,4,7,28,6,1,32,6,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 16, 2017  6:00 PM",7,7,2,5,11,4,7,49,6,1,32,6,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 16, 2017  7:00 PM",9,11,2,3,3,4,7,63,6,1,32,6,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 20, 2017 11:00 AM",4,3,1,4,4,1,4,16,3,8,28,7,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 21, 2017  1:00 PM",12,7,3,13,6,2,7.5,90,4,7,27,7,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 21, 2017  2:00 PM",3,5,2,8,9,2,7.5,22.5,4,7,27,7,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 21, 2017  3:00 PM",0,1,1,0,0,2,7.5,0,4,7,27,7,15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 22, 2017  6:00 PM",1,0,0,9,0,3,1,1,5,6,26,7,18,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 22, 2017  7:00 PM",6,6,3,5,1,3,1,6,5,6,26,7,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 22, 2017  8:00 PM",1,2,1,10,0,3,1,1,5,6,26,7,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 22, 2017  9:00 PM",1,1,1,16,0,3,1,1,5,6,26,7,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 27, 2017  7:00 PM",10,6,2,18,16,1,12.5,125,10,1,21,8,19,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 27, 2017  8:00 PM",6,7,3,228,9,1,12.5,75,10,1,21,8,20,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 27, 2017  9:00 PM",0,1,0,0,0,1,12.5,0,10,1,21,8,21,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Feb 28, 2017  1:00 PM",6,2,1,30,3,2,3,18,11,0,20,8,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Feb 28, 2017  2:00 PM",12,6,1,1550,0,2,3,36,11,0,20,8,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Mar 1, 2017  6:00 PM",0,9,1,0,0,3,4.33333333333333,0,1,6,19,8,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 1, 2017  7:00 PM",14,6,2,36,8,3,4.33333333333333,60.6666666666667,1,6,19,8,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 1, 2017  8:00 PM",14,11,2,26,3,3,4.33333333333333,60.6666666666667,1,6,19,8,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 1, 2017  9:00 PM",7,14,2,18,2,3,4.33333333333333,30.3333333333333,1,6,19,8,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 1, 2017 10:00 PM",0,1,1,0,0,3,4.33333333333333,0,1,6,19,8,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Mar 2, 2017  6:00 PM",2,1,2,3,1,4,5.5,11,2,5,18,8,18,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 2, 2017  7:00 PM",1,2,1,2,10,4,5.5,5.5,2,5,18,8,19,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Mar 14, 2017  1:00 PM",8,6,2,5,11,2,11,88,7,0,6,10,13,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 14, 2017  2:00 PM",1,3,1,21,0,2,11,11,7,0,6,10,14,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Mar 15, 2017  7:00 PM",11,3,2,19,20,3,20,220,1,-1,5,10,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 15, 2017  8:00 PM",4,2,2,432,0,3,20,80,1,-1,5,10,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
"Mar 16, 2017  6:00 PM",13,2,1,20,0,4,100,1300,2,-1,4,10,18,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,154,4.5,8.8,0.02,0.2,0.04
"Mar 16, 2017  7:00 PM",1,0,0,0,0,4,100,100,2,-1,4,10,19,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,154,4.5,8.8,0.02,0.2,0.04
