"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Apr 12, 2017  6:00 PM",1,0,0,1,0,3,37.8,37.8,-1,2,21,18,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 12, 2017  7:00 PM",15,0,1,149,62,3,37.8,567,-1,2,21,19,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 12, 2017  8:00 PM",7,3,1,0,24,3,37.8,264.6,-1,2,21,20,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 12, 2017  9:00 PM",1,2,1,0,48,3,37.8,37.8,-1,2,21,21,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 12, 2017 10:00 PM",0,1,1,0,27,3,37.8,0,-1,2,21,22,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 12, 2017 11:00 PM",0,3,1,0,28,3,37.8,0,-1,2,21,23,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 13, 2017 12:00 AM",0,1,0,0,0,4,6.9,0,-1,1,20,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,93,4,10.12,0.04,0.27,0.08
"Apr 13, 2017  1:00 PM",10,3,1,24,7,4,6.9,69,-1,1,20,13,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 13, 2017  2:00 PM",17,12,2,33,1,4,6.9,117.3,-1,1,20,14,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08
"Apr 13, 2017  3:00 PM",19,11,2,108,5,4,6.9,131.1,-1,1,20,15,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,93,4,10.12,0.04,0.27,0.08
