"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Jan 16, 2018 10:00 AM",3,1,3,2,34,2,29,87,-1,9,28,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 16, 2018 11:00 AM",5,3,4,5,37,2,29,145,-1,9,28,2,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 16, 2018 12:00 PM",5,7,3,5,16,2,29,145,-1,9,28,2,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,274,4.2,13.7,0.03,0.54,0.11
"Jan 17, 2018  4:00 PM",12,4,4,22,19,3,14.5,174,-1,8,27,2,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 17, 2018  5:00 PM",5,11,3,1,10,3,14.5,72.5,-1,8,27,2,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 17, 2018  6:00 PM",2,3,2,50,0,3,14.5,29,-1,8,27,2,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,274,4.2,13.7,0.03,0.54,0.11
"Jan 18, 2018  9:00 AM",3,3,3,2,21,4,26,78,-1,7,26,2,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 18, 2018 10:00 AM",2,0,2,3,31,4,26,52,-1,7,26,2,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 18, 2018 11:00 AM",0,2,0,0,0,4,26,0,-1,7,26,2,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,274,4.2,13.7,0.03,0.54,0.11
"Jan 19, 2018  2:00 PM",15,3,3,36,13,5,12.3333333333333,185,-1,6,25,2,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 19, 2018  3:00 PM",5,8,3,36,16,5,12.3333333333333,61.6666666666667,-1,6,25,2,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 19, 2018  4:00 PM",9,15,3,3,8,5,12.3333333333333,111,-1,6,25,2,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 19, 2018  5:00 PM",0,1,0,0,0,5,12.3333333333333,0,-1,6,25,2,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,274,4.2,13.7,0.03,0.54,0.11
"Jan 22, 2018  2:00 PM",14,6,3,27,15,1,12.75,178.5,-1,3,22,3,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 22, 2018  3:00 PM",15,7,3,39,14,1,12.75,191.25,-1,3,22,3,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11
"Jan 22, 2018  4:00 PM",3,10,3,56,20,1,12.75,38.25,-1,3,22,3,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,274,4.2,13.7,0.03,0.54,0.11
