"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Sep 25, 2018 12:00 PM",1,0,1,0,0,2,14,14,-1,22,43,11,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  1:00 PM",4,2,1,7,11,2,14,56,-1,22,43,11,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  6:00 PM",6,3,1,16,19,2,14,84,-1,22,43,11,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  7:00 PM",2,5,1,6,12,2,14,28,-1,22,43,11,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  8:00 PM",1,1,1,7,0,2,14,14,-1,22,43,11,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 25, 2018  9:00 PM",1,0,0,2205,0,2,14,14,-1,22,43,11,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,634,4.1,15.3,0.04,0.49,0.21
"Sep 27, 2018 10:00 AM",0,1,1,0,0,4,7,0,-1,20,41,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 27, 2018  2:00 PM",1,1,1,0,2,4,7,7,-1,20,41,1,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 27, 2018  3:00 PM",4,2,1,9,8,4,7,28,-1,20,41,1,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
"Sep 27, 2018  4:00 PM",2,2,1,14,11,4,7,14,-1,20,41,1,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21
