"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Apr 11, 2018  4:00 PM",8,0,0,27,0,3,10.5,84,-1,9,28,2,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 11, 2018  5:00 PM",10,6,3,30,18,3,10.5,105,-1,9,28,2,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 11, 2018  6:00 PM",6,11,3,3,3,3,10.5,63,-1,9,28,2,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,432,4.3,12.38,0.02,0.52,0.27
"Apr 12, 2018  2:00 PM",3,0,0,20,0,4,8.75,26.25,-1,8,27,2,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 12, 2018  3:00 PM",6,3,1,43,15,4,8.75,52.5,-1,8,27,2,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 12, 2018  4:00 PM",3,5,1,47,9,4,8.75,26.25,-1,8,27,2,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 12, 2018  5:00 PM",5,5,2,15,9,4,8.75,43.75,-1,8,27,2,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 12, 2018  6:00 PM",5,7,1,22,2,4,8.75,43.75,-1,8,27,2,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,432,4.3,12.38,0.02,0.52,0.27
"Apr 13, 2018  2:00 PM",10,3,2,32,11,5,11.4,114,-1,7,26,2,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 13, 2018  3:00 PM",6,8,2,46,14,5,11.4,68.4,-1,7,26,2,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 13, 2018  4:00 PM",3,8,2,35,7,5,11.4,34.2,-1,7,26,2,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 13, 2018  7:00 PM",13,6,2,47,11,5,11.4,148.2,-1,7,26,2,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27
"Apr 13, 2018  8:00 PM",2,5,2,56,14,5,11.4,22.8,-1,7,26,2,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,432,4.3,12.38,0.02,0.52,0.27
