"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 8, 2018  6:00 PM",24,19,1,25,10,0,8.8,211.2,-1,4,33,1,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,2
"Apr 8, 2018  8:00 PM",12,16,0.333333333333333,41.6666666666667,8,0,8.8,105.6,-1,4,33,1,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02,3
"Apr 9, 2018  6:00 PM",38,25,2,9,14,1,13.25,503.5,-1,3,32,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,2
"Apr 9, 2018  8:00 PM",23,30,1.33333333333333,7.66666666666667,8.33333333333333,1,13.25,304.75,-1,3,32,1,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02,3
"Apr 10, 2018  6:00 PM",36,25,1.5,16,14.5,2,13,468,-1,2,31,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,2
"Apr 10, 2018  8:00 PM",19,27,1,18.6666666666667,7.66666666666667,2,13,247,-1,2,31,1,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02,3
"Apr 11, 2018  5:00 PM",18,15,0,1.33333333333333,7.33333333333333,3,10,180,-1,1,30,2,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,3
"Apr 11, 2018  8:00 PM",20,23,2.5,4,9,3,10,200,-1,1,30,2,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02,2
"Apr 12, 2018  6:00 PM",21,12,1,30.5,13.5,4,10.5,220.5,-1,0,29,2,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,2
"Apr 12, 2018  8:00 PM",16,12,0.666666666666667,14.6666666666667,5,4,10.5,168,-1,0,29,2,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02,3
"Apr 15, 2018  6:00 PM",42,23,1.5,34,15,0,16.6,697.2,3,4,26,2,18,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02,2
