"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Sep 25, 2018 12:00 PM",5,2,0.5,3.5,5.5,2,14,70,-1,22,43,11,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Sep 25, 2018  6:00 PM",8,8,0.5,11,15.5,2,14,112,-1,22,43,11,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Sep 25, 2018  8:00 PM",2,1,0.5,1106,0,2,14,28,-1,22,43,11,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Sep 27, 2018 10:00 AM",0,1,1,0,0,4,7,0,-1,20,41,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,634,4.1,15.3,0.04,0.49,0.21,1
"Sep 27, 2018  2:00 PM",5,3,0.5,4.5,5,4,7,35,-1,20,41,1,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Sep 27, 2018  4:00 PM",4,5,0.5,13,5.5,4,7,28,-1,20,41,1,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Sep 27, 2018  8:00 PM",2,0,0,333.5,0,4,7,14,-1,20,41,1,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Sep 28, 2018  8:00 AM",0,1,1,0,0,5,13,0,-1,19,40,1,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,634,4.1,15.3,0.04,0.49,0.21,1
"Sep 28, 2018  2:00 PM",3,3,0.5,4,12.5,5,13,39,-1,19,40,1,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Sep 28, 2018  4:00 PM",6,5,0.5,0.5,7,5,13,78,-1,19,40,1,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Oct 1, 2018  1:00 PM",17,15,0.333333333333333,11.3333333333333,8,1,8.8,149.6,-1,16,37,1,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,3
"Oct 1, 2018  4:00 PM",7,7,0.5,3,10,1,8.8,61.6,-1,16,37,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Oct 2, 2018 10:00 AM",2,2,1,5,0,2,10.8571428571429,21.7142857142857,-1,15,36,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,634,4.1,15.3,0.04,0.49,0.21,1
"Oct 2, 2018  3:00 PM",5,2,1,17,17,2,10.8571428571429,54.2857142857143,-1,15,36,1,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,1
"Oct 2, 2018  4:00 PM",8,11,0.25,2.5,8.25,2,10.8571428571429,86.857142857143,-1,15,36,1,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 2, 2018  8:00 PM",3,3,0.333333333333333,6,8.66666666666667,2,10.8571428571429,32.5714285714286,-1,15,36,1,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,3
"Oct 3, 2018  1:00 PM",7,7,0.5,2.5,3,3,8.5,59.5,-1,14,35,2,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Oct 3, 2018  4:00 PM",6,4,0.5,456.5,5.5,3,8.5,51,-1,14,35,2,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,2
"Oct 4, 2018  8:00 AM",9,9,0.333333333333333,11,9,4,15.1,135.9,-1,13,34,2,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,3
"Oct 4, 2018 12:00 PM",10,9,0.25,3,8,4,15.1,151,-1,13,34,2,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 4, 2018  4:00 PM",7,6,0.25,7.5,23,4,15.1,105.7,-1,13,34,2,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 4, 2018  8:00 PM",0,1,0,0,0,4,15.1,0,-1,13,34,2,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,634,4.1,15.3,0.04,0.49,0.21,1
"Oct 5, 2018  7:00 AM",12,8,0,26.75,5.25,5,8.2,98.4,-1,12,33,2,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 5, 2018 12:00 PM",23,22,0.25,15.25,7.5,5,8.2,188.6,-1,12,33,2,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 5, 2018  4:00 PM",12,12,0.25,27,7.75,5,8.2,98.4,-1,12,33,2,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 5, 2018  8:00 PM",0,1,0,0,0,5,8.2,0,-1,12,33,2,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,634,4.1,15.3,0.04,0.49,0.21,1
"Oct 8, 2018  1:00 PM",33,12,0.333333333333333,217,10,1,10.5,346.5,-1,9,30,2,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,3
"Oct 8, 2018  4:00 PM",28,27,0.25,94.25,13,1,10.5,294,-1,9,30,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,4
"Oct 8, 2018  8:00 PM",6,12,0.333333333333333,44.3333333333333,0.666666666666667,1,10.5,63,-1,9,30,2,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,634,4.1,15.3,0.04,0.49,0.21,3
"Oct 9, 2018 10:00 AM",13,5,0.5,84,19.5,2,13.2727272727273,172.545454545454,-1,8,29,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,634,4.1,15.3,0.04,0.49,0.21,2
