"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Oct 3, 2017  4:00 PM",7,7,1,8,18.5,2,24.6666666666667,172.666666666667,2,5,31,16,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,4
"Oct 4, 2017 11:00 AM",7,5,1,4,3,3,10.9,76.3,3,4,30,11,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,1
"Oct 4, 2017 12:00 PM",11,13,1,4.33333333333333,4.66666666666667,3,10.9,119.9,3,4,30,12,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,172,4.1,16.35,0.29,0.14,0.05,3
"Oct 4, 2017  4:00 PM",17,14,1,8.5,16,3,10.9,185.3,3,4,30,16,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,172,4.1,16.35,0.29,0.14,0.05,4
"Oct 4, 2017  8:00 PM",9,8,1,13,14,3,10.9,98.1,3,4,30,20,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,172,4.1,16.35,0.29,0.14,0.05,2
"Oct 5, 2017  3:00 PM",12,10,2,15,4,4,6.28571428571429,75.4285714285714,4,3,29,15,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,1
"Oct 5, 2017  4:00 PM",30,24,2,25.25,7,4,6.28571428571429,188.571428571428,4,3,29,16,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,172,4.1,16.35,0.29,0.14,0.05,4
"Oct 5, 2017  8:00 PM",8,13,1,52,6,4,6.28571428571429,50.2857142857143,4,3,29,20,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,172,4.1,16.35,0.29,0.14,0.05,2
"Oct 8, 2017  1:00 PM",50,11,1,185.333333333333,15.6666666666667,0,10.5,525,7,0,26,13,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,172,4.1,16.35,0.29,0.14,0.05,3
"Oct 8, 2017  4:00 PM",28,20,1,0,8.75,0,10.5,294,7,0,26,16,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,4.1,16.35,0.29,0.14,0.05,4
