"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Jan 9, 2018  5:00 PM",1,1,1,0,21,2,21,21,-1,8,51,17,11,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 15, 2018  3:00 PM",1,1,1,1,7,1,7,7,-1,2,45,15,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 16, 2018  3:00 PM",2,1,1,12,0,2,14,28,-1,1,44,15,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 16, 2018  4:00 PM",5,6,1,15,14,2,14,70,-1,1,44,16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 17, 2018  3:00 PM",1,0,1,38,2,3,11.2,11.2,-1,0,43,15,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 17, 2018  4:00 PM",19,15,1,15,13.5,3,11.2,212.8,-1,0,43,16,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,4
"Jan 17, 2018  8:00 PM",0,1,0,0,0,3,11.2,0,-1,0,43,20,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 18, 2018  2:00 PM",15,10,1,21.5,11,4,11,165,1,6,42,14,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 18, 2018  4:00 PM",0,1,0,0,0,4,11,0,1,6,42,16,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 19, 2018 10:00 AM",16,7,1,31.5,12,5,18,288,2,5,41,10,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 19, 2018 12:00 PM",0,5,1,0,5,5,18,0,2,5,41,12,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 19, 2018  4:00 PM",25,15,1,76.75,25,5,18,450,2,5,41,16,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,4
"Jan 19, 2018  8:00 PM",0,7,2,0,15,5,18,0,2,5,41,20,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 21, 2018 10:00 AM",8,3,1,61.5,25,0,16.6666666666667,133.333333333333,4,3,39,10,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 21, 2018 12:00 PM",34,19,1,95,17.5,0,16.6666666666667,566.666666666667,4,3,39,12,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,4
"Jan 21, 2018  4:00 PM",8,19,1,34.6666666666667,10,0,16.6666666666667,133.333333333333,4,3,39,16,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,3
"Jan 22, 2018 10:00 AM",6,5,1,22.5,22,1,20.5555555555556,123.333333333334,5,2,38,10,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 22, 2018 12:00 PM",14,10,1,5.33333333333333,19,1,20.5555555555556,287.777777777778,5,2,38,12,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,3
"Jan 22, 2018  4:00 PM",20,20,2,6.25,17.75,1,20.5555555555556,411.111111111111,5,2,38,16,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,4
"Jan 22, 2018  8:00 PM",3,4,1,25,6.5,1,20.5555555555556,61.6666666666667,5,2,38,20,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 23, 2018 12:00 PM",5,4,1,4.33333333333333,25.3333333333333,2,25.5,127.5,6,1,37,12,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,3
"Jan 23, 2018  6:00 PM",7,7,1,16.5,13,2,25.5,178.5,6,1,37,18,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 24, 2018  2:00 PM",18,7,1,67,20.5,3,14.3333333333333,258,7,0,36,14,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 24, 2018  4:00 PM",18,24,2,61.75,11.25,3,14.3333333333333,258,7,0,36,16,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,4
"Jan 26, 2018 11:00 AM",12,1,1,63,17,5,17.6666666666667,212,2,6,34,11,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,1
"Jan 26, 2018 12:00 PM",1,8,1,33.5,18,5,17.6666666666667,17.6666666666667,2,6,34,12,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,206,4.7,16.35,0.29,0.14,0.05,2
"Jan 28, 2018  8:00 AM",15,13,1,23,22.25,0,19.2,288,4,4,32,8,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,206,4.7,16.35,0.29,0.14,0.05,4
